Simulation,Mean,Std
540,0.3568531598021671,0.05636439986110068
541,0.35613714085465054,0.05517095400262146
542,0.35539237306299054,0.055116492086304515
543,0.3554449635914976,0.054568123107192196
544,0.35597494463318224,0.05544491176063913
545,0.3566970785517399,0.05547431690161674
546,0.3558962672618723,0.054744640182412166
547,0.356030667561511,0.05544608225343713
548,0.3555336986617795,0.05545926350267636
549,0.35695308568965,0.054958712834835215
550,0.35718916963490316,0.05584067795943786
551,0.3559091399213769,0.05537716344018357
552,0.3570308832039837,0.05503757690325604
553,0.3554577977559871,0.054956439482581054
554,0.3562901759837896,0.055416506177793486
555,0.3562405411471238,0.05524067801098544
556,0.357215887278239,0.05592069942052387
557,0.35571382304598853,0.05468705868661637
558,0.3552475051896658,0.05533221991978626
559,0.3559873826891587,0.05456785520779628
560,0.3557356123634752,0.055209081648591944
561,0.3552197251810132,0.05555493443122533
562,0.356485439625324,0.05527678783249228
563,0.3559839255794276,0.05561030255471438
564,0.3557739590199135,0.055087321194977376
565,0.3565470718296868,0.05559571198705684
566,0.3567201432193444,0.0557850657626501
567,0.35537448199853355,0.055103981929090814
568,0.35596199044815235,0.05524061854786918
569,0.35620707892635217,0.05557432715277887
570,0.35576807880932426,0.05521297742053339
571,0.35578795017204673,0.055103985894402255
572,0.3564255339106897,0.05549056167354336
573,0.3556085101982786,0.05489963908912494
574,0.3559636429481182,0.05580395970727718
575,0.356143621771194,0.055124405266326844
576,0.3572366753661232,0.05509244558528595
577,0.3554706732927882,0.055144937081857595
578,0.35682205358767943,0.055225881898569605
579,0.35565698419609976,0.055273382557078615
580,0.35536172849427855,0.05466290115529389
581,0.3556779505430101,0.05560281630944167
582,0.3568765396353758,0.055408111820191404
583,0.355918934271602,0.05546149169590009
584,0.35551278021453264,0.054816977561727605
585,0.3564504278014899,0.05523361368037593
586,0.35575907203074797,0.0558057660824156
587,0.3553747289725759,0.055392700540400734
588,0.35590753418390314,0.055519556355373194
589,0.35630621691688097,0.05538662221438853
590,0.3560446688861331,0.05536654766285485
591,0.35709098114171695,0.05640287988308241
592,0.35556888849710167,0.05564281549282225
593,0.35569004548022987,0.055391636083544596
594,0.3557246716535638,0.05566931695348575
595,0.35495827282413633,0.055160692567216243
596,0.3559460746862295,0.055437764940912806
597,0.3551024874293645,0.05445403403459976
598,0.35574389018017993,0.055380388165743914
599,0.35640158843174047,0.05509406476092725
600,0.3567117390405461,0.05580782668767296
601,0.3559977513023667,0.05516236436106884
602,0.3555549651156846,0.05533992109281512
603,0.3557330771829537,0.05540521296251334
604,0.3548831659776236,0.054834098622120506
605,0.35667076695860433,0.055644816122835915
606,0.3556913346497287,0.05530315017322482
607,0.356023929386402,0.05548095665118087
608,0.3549230480192693,0.05579275288871643
609,0.354685442008276,0.054248336405980806
610,0.35595555488091285,0.05460048036064655
611,0.35606287683690063,0.055721329904442965
612,0.35521579586060137,0.05559292580320399
613,0.3559830030952983,0.05524158952835486
614,0.35465674465089897,0.05526070932008571
615,0.35512047230776667,0.05532344670987287
616,0.356634170647696,0.05550369972365985
617,0.35543839869060967,0.05511986227973825
618,0.35491795904909024,0.05510768713440272
619,0.3569005504448097,0.055291287639558886
620,0.3567335146448056,0.055045551332748806
621,0.3557625025426264,0.05474947772311078
622,0.3552443280434131,0.0547843889100384
623,0.3561820036291179,0.05540962055404955
624,0.3558349880772304,0.05531383976376948
625,0.356326095627313,0.05540574898340651
626,0.35523906862971333,0.05498056604666572
627,0.35508565198346387,0.05535223075849775
628,0.3553044653569983,0.0555511213408214
629,0.35544577424633944,0.05502329076339832
630,0.3563662066933422,0.054815742382624655
631,0.3560554344737532,0.055352664907459624
632,0.35729296610618355,0.0549500799402186
633,0.3553101033854153,0.05541830357561565
634,0.35606675220948625,0.05574703567016465
635,0.3562346886477887,0.05495791213189917
636,0.35631076078926815,0.05503974104894366
637,0.35694935650023896,0.05558526183809443
638,0.356247287888249,0.05530449942044705
639,0.35650242635291457,0.055359716574102026
640,0.3561410295495879,0.05539573498073796
641,0.3566992481341308,0.055321178544232824
642,0.35565839635171786,0.05587073550214
643,0.3560435535251933,0.05532768349357305
644,0.35500857024217625,0.05568489759702438
645,0.3546865577856607,0.05524949545834281
646,0.3562483731005411,0.05490800721763691
647,0.35613829786501594,0.05508852370297448
648,0.35570984879794193,0.055556871950869016
649,0.35621178726060254,0.055220344318568274
650,0.356055647049518,0.055201411907054763
651,0.3561377054157536,0.05545879279556886
652,0.3570683616664979,0.05519768738529861
653,0.3557547500147746,0.055262611080613436
654,0.35545286160573425,0.05495692700698796
655,0.35607917847381676,0.05606678829754335
656,0.3568180648654265,0.05529849765162716
657,0.35659765401126825,0.055600250646979536
658,0.35716586596367206,0.054922382096605764
659,0.35585318538139404,0.054974322720022444
660,0.3555521298501345,0.05536725696544215
661,0.356470520116171,0.05636847085771635
662,0.35631433055235084,0.0557468670651274
663,0.3563166386055318,0.055687932430195375
664,0.3556702000023162,0.05537759777851717
665,0.35717174692261844,0.0557643466666416
666,0.35673902098825616,0.055473596772522345
667,0.355792581695177,0.05569193686030672
668,0.35587203118197674,0.055478078994677694
669,0.3554102243639443,0.05482348598531119
670,0.35593480290115403,0.0547878918370573
671,0.3554878172314474,0.055459688368747505
672,0.3557468549949351,0.054748684399123844
673,0.3553401559120284,0.055243640803201294
674,0.3559787044811881,0.0556998368329976
675,0.3556722475940741,0.05513511930040839
676,0.3563308013150906,0.05506010459611668
677,0.3564540380788576,0.055072460869794906
678,0.35537517997045204,0.0557070077735869
679,0.35646839858224405,0.05539213512837919
680,0.3557756394156872,0.05569057680640283
681,0.35601709569434664,0.05511702635586971
682,0.35606679008511716,0.055390658670370144
683,0.35647057546904454,0.05519178686533933
684,0.3561038704549579,0.055677883085199296
685,0.3540422321667195,0.054726997540147725
686,0.35721207196098004,0.055614689073848006
687,0.35633536577944047,0.05500587750152461
688,0.3555280549065007,0.0552872343364337
689,0.35622148741549464,0.054488467456462054
690,0.35580802366981096,0.05515410832966806
691,0.35495558124457144,0.05462741264879303
692,0.3553413876419862,0.05529288171592684
693,0.35575601303981597,0.055859593925585156
694,0.35709513705364965,0.0551356729776235
695,0.3567979971876459,0.05540936301219236
696,0.3559281647060476,0.055067573543022684
697,0.35614820448467654,0.05515287048611263
698,0.35634443168578256,0.055338730761051114
699,0.3568819866452125,0.05533188703161286
