Country,HDI_2023,Life_Expectancy,Expected_Schooling,Mean_Schooling,GNI_per_Capita,Year,ISO3,CO2_per_capita,Innovation_Score_Mean,Innovation_Best_Rank,generation_twh,generation_share_pct,generation_kwh_per_capita
"l. HDRO estimate based on data from Robert Barro and Jong-Wha Lee, ICF Macro Demographic and Health Surveys, the Organisation for Economic Co-operation and Development, United Nations Children's Fund (UNICEF) Multiple Indicator Cluster Surveys and the United Nations Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics. ",,,,,,2023,,,,,,,
m. Refers to 2020 based on UNESCO Institute for Statistics (2024).,,,,,,2023,,,,,,,
"n. HDRO estimate based on data from the Center for Distributive, Labor and Social Studies and the World Bank’s Socio-Economic Database for Latin America and the Caribbean, ICF Macro Demographic and Health Surveys, the UNESCO Institute for Statistics and UNICEF Multiple Indicator Cluster Surveys.",,,,,,2023,,,,,,,
o. Updated by HDRO based on data from UNICEF Multiple Indicator Cluster Surveys for various years and UNESCO Institute for Statistics (2024).,,,,,,2023,,,,,,,
p. Updated by HDRO based on data from UNESCO Institute for Statistics (2024) and estimates using cross-country regression.,,,,,,2023,,,,,,,
q. Based on HDRO estimates using cross-country regression.,,,,,,2023,,,,,,,
r. HDRO estimate calculated based on United Nations Statistics Division (2025) and World Bank (2024a).,,,,,,2023,,,,,,,
s. Refers to 2018 based on UNESCO Institute for Statistics (2024).,,,,,,2023,,,,,,,
t. HDRO estimate based on data from IMF (2024) and World Bank (2024a).,,,,,,2023,,,,,,,
u. IMF 2024.,,,,,,2023,,,,,,,
v. Updated by HDRO based on data from UNICEF Multiple Indicator Cluster Surveys for various years.,,,,,,2023,,,,,,,
"w. HDRO estimate based on data from ICF Macro Demographic and Health Surveys, the UNESCO Institute for Statistics  and UNICEF Multiple Indicator Cluster Surveys.",,,,,,2023,,,,,,,
x. Updated by HDRO based on data from  ICF Macro Demographic and Health Surveys for various years and UNESCO Institute for Statistics (2024).,,,,,,2023,,,,,,,
y. Updated by HDRO based on data from UNICEF Multiple Indicator Cluster Surveys for various years and estimates using cross-country regression.,,,,,,2023,,,,,,,
